seeker,hider,result,avg_steps_5_matches
0,2,seeker_wins 1/1,168.00
0,3,seeker_wins 1/1,17.00
0,4,seeker_wins 1/1,36.00
0,5,seeker_wins 1/1,39.00
0,6,seeker_wins 1/1,14.00
0,7,seeker_wins 1/1,17.00
0,8,seeker_wins 1/1,59.00
0,9,seeker_wins 1/1,11.00
0,10,seeker_wins 1/1,17.00
0,11,seeker_wins 1/1,20.00
0,12,seeker_wins 1/1,85.00
0,13,seeker_wins 1/1,13.00
0,14,seeker_wins 1/1,6.00
0,15,seeker_wins 1/1,83.00
0,16,seeker_wins 1/1,96.00
2,0,seeker_wins 1/1,184.00
2,3,seeker_wins 1/1,17.00
2,4,seeker_wins 1/1,70.00
2,5,seeker_wins 1/1,106.00
2,6,seeker_wins 1/1,59.00
2,7,seeker_wins 1/1,110.00
2,8,seeker_wins 1/1,74.00
2,9,seeker_wins 1/1,12.00
2,10,seeker_wins 1/1,74.00
2,11,seeker_wins 1/1,89.00
2,12,hider_wins 1/1,200.00
2,13,seeker_wins 1/1,155.00
2,14,seeker_wins 1/1,43.00
2,15,seeker_wins 1/1,106.00
2,16,seeker_wins 1/1,183.00
3,0,hider_wins 1/1,1.00
3,2,hider_wins 1/1,1.00
3,4,hider_wins 1/1,1.00
3,5,hider_wins 1/1,1.00
3,6,hider_wins 1/1,1.00
3,7,hider_wins 1/1,1.00
3,8,hider_wins 1/1,1.00
3,9,hider_wins 1/1,1.00
3,10,hider_wins 1/1,1.00
3,11,hider_wins 1/1,1.00
3,12,hider_wins 1/1,1.00
3,13,hider_wins 1/1,1.00
3,14,hider_wins 1/1,1.00
3,15,hider_wins 1/1,1.00
3,16,hider_wins 1/1,1.00
4,0,seeker_wins 1/1,13.00
4,2,seeker_wins 1/1,11.00
4,3,seeker_wins 1/1,10.00
4,5,seeker_wins 1/1,36.00
4,6,seeker_wins 1/1,14.00
4,7,seeker_wins 1/1,10.00
4,8,seeker_wins 1/1,34.00
4,9,seeker_wins 1/1,8.00
4,10,seeker_wins 1/1,13.00
4,11,seeker_wins 1/1,28.00
4,12,seeker_wins 1/1,8.00
4,13,seeker_wins 1/1,11.00
4,14,seeker_wins 1/1,10.00
4,15,seeker_wins 1/1,12.00
4,16,seeker_wins 1/1,13.00
5,0,seeker_wins 1/1,176.00
5,2,seeker_wins 1/1,93.00
5,3,seeker_wins 1/1,41.00
5,4,hider_wins 1/1,200.00
5,6,seeker_wins 1/1,27.00
5,7,seeker_wins 1/1,89.00
5,8,seeker_wins 1/1,47.00
5,9,seeker_wins 1/1,29.00
5,10,seeker_wins 1/1,107.00
5,11,seeker_wins 1/1,92.00
5,12,seeker_wins 1/1,88.00
5,13,seeker_wins 1/1,33.00
5,14,seeker_wins 1/1,28.00
5,15,seeker_wins 1/1,38.00
5,16,hider_wins 1/1,200.00
6,0,seeker_wins 1/1,37.00
6,2,seeker_wins 1/1,54.00
6,3,seeker_wins 1/1,6.00
6,4,seeker_wins 1/1,30.00
6,5,seeker_wins 1/1,32.00
6,7,seeker_wins 1/1,29.00
6,8,seeker_wins 1/1,9.00
6,9,seeker_wins 1/1,18.00
6,10,seeker_wins 1/1,55.00
6,11,seeker_wins 1/1,29.00
6,12,seeker_wins 1/1,38.00
6,13,seeker_wins 1/1,33.00
6,14,seeker_wins 1/1,23.00
6,15,seeker_wins 1/1,55.00
6,16,seeker_wins 1/1,58.00
7,0,seeker_wins 1/1,30.00
7,2,seeker_wins 1/1,13.00
7,3,seeker_wins 1/1,30.00
7,4,seeker_wins 1/1,57.00
7,5,seeker_wins 1/1,26.00
7,6,seeker_wins 1/1,56.00
7,8,seeker_wins 1/1,31.00
7,9,seeker_wins 1/1,42.00
7,10,seeker_wins 1/1,6.00
7,11,seeker_wins 1/1,35.00
7,12,seeker_wins 1/1,63.00
7,13,seeker_wins 1/1,22.00
7,14,seeker_wins 1/1,12.00
7,15,seeker_wins 1/1,24.00
7,16,seeker_wins 1/1,71.00
8,0,seeker_wins 1/1,25.00
8,2,seeker_wins 1/1,21.00
8,3,seeker_wins 1/1,18.00
